checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,credit-risk,sex,marital_status,age_cat
<0,18,existing paid,radio/tv,3190,<100,1<=X<4,2,none,2,real estate,24,none,own,1,skilled,1,none,yes,bad,female,div/sep,young
<0,18,existing paid,new car,4380,100<=X<500,1<=X<4,3,none,4,car,35,none,own,1,unskilled resident,2,yes,yes,good,male,single,aged
<0,24,all paid,new car,2325,100<=X<500,4<=X<7,2,none,3,car,32,bank,own,1,skilled,1,none,yes,good,male,single,aged
>=200,12,existing paid,radio/tv,1297,<100,1<=X<4,3,none,4,real estate,23,none,rent,1,skilled,1,none,yes,good,male,mar/wid,young
no checking,33,critical/other existing credit,used car,7253,<100,4<=X<7,3,none,2,car,35,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
<0,24,existing paid,radio/tv,2384,<100,>=7,4,none,4,real estate,64,bank,rent,1,unskilled resident,1,none,yes,good,male,single,aged
>=200,6,existing paid,furniture/equipment,2116,<100,1<=X<4,2,none,2,real estate,41,none,own,1,skilled,1,yes,yes,good,male,single,aged
0<=X<200,12,delayed previously,radio/tv,585,<100,1<=X<4,4,co applicant,4,real estate,20,none,rent,2,skilled,1,none,yes,good,male,mar/wid,young
no checking,9,existing paid,new car,3577,100<=X<500,1<=X<4,1,guarantor,2,real estate,26,none,rent,1,skilled,2,none,no,good,male,single,aged
no checking,27,delayed previously,used car,8613,>=1000,1<=X<4,2,none,2,car,27,none,own,2,skilled,1,none,yes,good,male,single,aged
0<=X<200,6,existing paid,radio/tv,484,<100,4<=X<7,3,guarantor,3,real estate,28,bank,own,1,unskilled resident,1,none,yes,good,male,mar/wid,aged
<0,42,existing paid,radio/tv,3965,<100,<1,4,none,3,car,34,none,own,1,skilled,1,none,yes,bad,male,single,aged
no checking,24,existing paid,radio/tv,1376,500<=X<1000,4<=X<7,4,none,1,car,28,none,own,1,skilled,1,none,yes,good,female,div/sep,aged
<0,60,existing paid,business,7297,<100,>=7,4,co applicant,4,no known property,36,none,rent,1,skilled,1,none,yes,bad,male,single,aged
0<=X<200,60,existing paid,education,6288,<100,1<=X<4,4,none,4,no known property,42,none,for free,1,skilled,1,none,yes,bad,male,single,aged
<0,18,existing paid,furniture/equipment,4153,<100,1<=X<4,2,co applicant,3,car,42,none,own,1,skilled,1,none,yes,bad,male,single,aged
no checking,15,critical/other existing credit,used car,3368,>=1000,>=7,3,none,4,no known property,23,none,rent,2,skilled,1,yes,yes,good,male,single,young
no checking,18,critical/other existing credit,radio/tv,1098,<100,unemployed,4,none,4,car,65,none,own,2,unemp/unskilled non res,1,none,yes,good,female,div/sep,aged
<0,18,critical/other existing credit,furniture/equipment,2124,<100,1<=X<4,4,none,4,real estate,24,none,rent,2,skilled,1,none,yes,bad,female,div/sep,young
<0,15,delayed previously,furniture/equipment,3643,<100,>=7,1,none,4,life insurance,27,none,own,2,unskilled resident,1,none,yes,good,female,div/sep,aged
no checking,48,critical/other existing credit,used car,8858,no known savings,4<=X<7,2,none,1,no known property,35,none,for free,2,skilled,1,yes,yes,good,male,single,aged
<0,21,delayed previously,education,3414,<100,<1,2,none,1,life insurance,26,none,own,2,skilled,1,none,yes,bad,male,single,aged
no checking,18,critical/other existing credit,radio/tv,6070,<100,>=7,3,none,4,car,33,none,own,2,skilled,1,yes,yes,good,male,single,aged
no checking,4,critical/other existing credit,radio/tv,1503,<100,4<=X<7,2,none,1,real estate,42,none,own,2,unskilled resident,2,none,yes,good,male,single,aged
no checking,9,critical/other existing credit,radio/tv,3074,no known savings,1<=X<4,1,none,2,real estate,33,none,own,2,skilled,2,none,yes,good,male,single,aged
<0,24,existing paid,radio/tv,1823,<100,unemployed,4,none,2,car,30,stores,own,1,high qualif/self emp/mgmt,2,none,yes,bad,male,single,aged
0<=X<200,36,existing paid,radio/tv,2323,<100,4<=X<7,4,none,4,car,24,none,rent,1,skilled,1,none,yes,good,male,single,young
>=200,42,no credits/all paid,business,6289,<100,<1,2,none,1,life insurance,33,none,own,2,skilled,1,none,yes,good,male,div/sep,aged
no checking,36,critical/other existing credit,used car,10477,no known savings,>=7,2,none,4,no known property,42,none,for free,2,skilled,1,none,yes,good,male,single,aged
no checking,12,existing paid,new car,2859,no known savings,unemployed,4,none,4,no known property,38,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
0<=X<200,13,critical/other existing credit,radio/tv,882,<100,<1,4,guarantor,4,real estate,23,none,own,2,skilled,1,none,yes,good,male,single,young
>=200,12,existing paid,radio/tv,1881,<100,1<=X<4,2,none,2,car,44,none,rent,1,unskilled resident,1,yes,yes,good,female,div/sep,aged
no checking,18,critical/other existing credit,new car,1530,<100,1<=X<4,3,none,2,life insurance,32,bank,own,2,skilled,1,none,yes,bad,male,single,aged
>=200,6,critical/other existing credit,new car,1323,100<=X<500,>=7,2,none,4,car,28,none,own,2,skilled,2,yes,yes,good,male,div/sep,aged
no checking,36,existing paid,new car,3079,no known savings,1<=X<4,4,none,4,real estate,36,none,own,1,skilled,1,none,yes,good,male,single,aged
0<=X<200,24,existing paid,used car,2760,no known savings,>=7,4,none,4,no known property,36,bank,for free,1,skilled,1,yes,yes,good,male,single,aged
0<=X<200,36,delayed previously,new car,2862,100<=X<500,>=7,4,none,3,no known property,30,none,for free,1,skilled,1,none,yes,good,male,single,aged
no checking,12,existing paid,new car,2133,no known savings,>=7,4,none,4,no known property,52,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good,female,div/sep,aged
no checking,20,critical/other existing credit,new car,3485,no known savings,<1,2,none,4,real estate,44,none,own,2,skilled,1,yes,yes,good,male,div/sep,aged
<0,36,critical/other existing credit,furniture/equipment,6229,<100,<1,4,co applicant,4,no known property,23,none,rent,2,unskilled resident,1,yes,yes,bad,female,div/sep,young
>=200,36,existing paid,radio/tv,4473,<100,>=7,4,none,2,car,31,none,own,1,skilled,1,none,yes,good,male,single,aged
no checking,12,critical/other existing credit,education,2012,no known savings,4<=X<7,4,none,2,car,61,none,own,1,skilled,1,none,yes,good,female,div/sep,aged
>=200,24,existing paid,furniture/equipment,3749,<100,<1,2,none,4,car,26,none,own,1,skilled,1,none,yes,good,female,div/sep,aged
no checking,30,critical/other existing credit,radio/tv,2831,<100,1<=X<4,4,none,2,car,33,none,own,1,skilled,1,yes,yes,good,female,div/sep,aged
0<=X<200,21,critical/other existing credit,furniture/equipment,2745,>=1000,4<=X<7,3,none,2,car,32,none,own,2,skilled,1,yes,yes,good,male,single,aged
<0,12,existing paid,furniture/equipment,1262,no known savings,>=7,2,none,4,life insurance,49,none,own,1,unskilled resident,1,yes,yes,good,male,div/sep,aged
<0,24,all paid,furniture/equipment,6872,<100,<1,2,none,1,life insurance,55,bank,own,1,skilled,1,yes,yes,bad,male,div/sep,aged
0<=X<200,9,existing paid,furniture/equipment,918,<100,1<=X<4,4,none,1,life insurance,30,none,own,1,skilled,1,none,yes,bad,female,div/sep,aged
>=200,12,all paid,business,609,<100,<1,4,none,1,real estate,26,none,own,1,unemp/unskilled non res,1,none,yes,bad,female,div/sep,aged
no checking,4,existing paid,furniture/equipment,601,<100,<1,1,none,3,real estate,23,none,rent,1,unskilled resident,2,none,yes,good,female,div/sep,young
<0,24,existing paid,furniture/equipment,3234,<100,<1,4,none,4,real estate,23,none,rent,1,unskilled resident,1,yes,yes,bad,female,div/sep,young
no checking,30,critical/other existing credit,radio/tv,6742,no known savings,4<=X<7,2,none,3,life insurance,36,none,own,2,skilled,1,none,yes,good,male,single,aged
<0,24,existing paid,radio/tv,1603,<100,>=7,4,none,4,car,55,none,own,1,skilled,1,none,yes,good,female,div/sep,aged
0<=X<200,36,critical/other existing credit,new car,2820,<100,<1,4,none,4,car,27,none,own,2,skilled,1,none,yes,bad,male,div/sep,aged
0<=X<200,12,critical/other existing credit,used car,1804,100<=X<500,<1,3,none,4,life insurance,44,none,own,1,skilled,1,none,yes,good,male,single,aged
0<=X<200,18,existing paid,business,1913,>=1000,<1,3,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,good,male,mar/wid,aged
<0,6,critical/other existing credit,new car,3676,<100,1<=X<4,1,none,3,real estate,37,none,rent,3,skilled,2,none,yes,good,male,single,aged
0<=X<200,12,existing paid,new car,1295,<100,<1,3,none,1,car,25,none,rent,1,skilled,1,none,yes,bad,female,div/sep,aged
<0,12,existing paid,education,1200,no known savings,1<=X<4,4,none,4,life insurance,23,bank,rent,1,skilled,1,yes,yes,good,female,div/sep,young
no checking,12,existing paid,new car,1101,<100,1<=X<4,3,none,2,real estate,27,none,own,2,skilled,1,yes,yes,good,male,mar/wid,aged
no checking,12,existing paid,used car,4675,no known savings,<1,1,none,4,car,20,none,rent,1,skilled,1,none,yes,good,female,div/sep,young
0<=X<200,36,delayed previously,new car,2225,<100,>=7,4,none,4,no known property,57,bank,for free,2,skilled,1,yes,yes,bad,male,single,aged
<0,30,existing paid,furniture/equipment,6350,no known savings,>=7,4,none,4,life insurance,31,none,own,1,skilled,1,none,yes,bad,male,single,aged
no checking,12,existing paid,used car,1413,>=1000,4<=X<7,3,none,2,life insurance,55,none,own,1,skilled,1,none,no,good,male,single,aged
>=200,10,existing paid,furniture/equipment,1275,<100,<1,4,none,2,life insurance,23,none,own,1,skilled,1,none,yes,good,female,div/sep,young
0<=X<200,24,existing paid,radio/tv,2896,100<=X<500,<1,2,none,1,car,29,none,own,1,skilled,1,none,yes,good,male,single,aged
no checking,21,existing paid,furniture/equipment,2241,<100,>=7,4,none,2,real estate,50,none,own,2,skilled,1,none,yes,good,male,single,aged
<0,18,existing paid,radio/tv,2389,<100,<1,4,none,1,car,27,stores,own,1,skilled,1,none,yes,good,female,div/sep,aged
no checking,36,existing paid,used car,8133,<100,1<=X<4,1,none,2,life insurance,30,bank,own,1,skilled,1,none,yes,good,female,div/sep,aged
>=200,18,existing paid,furniture/equipment,2864,<100,1<=X<4,2,none,1,real estate,34,none,own,1,unskilled resident,2,none,yes,bad,male,single,aged
0<=X<200,12,existing paid,new car,6078,<100,4<=X<7,2,none,2,car,32,none,own,1,skilled,1,none,yes,good,male,single,aged
